リスト名,担当名,パスアポ,会社名,HP,HPリンク,説明,説明リンク,電話番号,代表者,リストランク,アポ獲得,アプローチ内容,見込み,アプローチ備考,次回アプローチ日,地域,業種,従業員数,リストアップ担当者,条件NG,リストアップ更新日,調査,行動履歴チェック,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,ゼット工業株式会社,kyowa-z.co.jp,kyowa-z.co.jp,,"【あいち健康ネット】
https://www.kenko-keiei.pref.aichi.jp/company/detail/733",,,,,追客,C,11/6 .1/9不在,,愛知県名古屋市,公益事業（電気、ガス、水道など）,48,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社トレンディ茨城,https://trendy-ibaraki.jp/,https://trendy-ibaraki.jp/,,https://hatarakikatakaikaku.mhlw.go.jp/casestudy/file077/,,,,,追客,C,社長確認する17：15まで　1/9不在,,茨城県水戸市,,34,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社藤枝事務器商会,https://f-jimuki.co.jp/,https://f-jimuki.co.jp/,,,,,,,受付NG,C,社長確認して取材×,,静岡県藤枝市,設計,25,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社トップライン,https://www.topline-jp.com/company/company1/,https://www.topline-jp.com/company/company1/,,https://kenkoukeiei-media.com/articles/ikigai_event1,,,,,担当NG,,秘書に取材×,,埼玉県さいたま市,運輸／陸運／鉄道,24,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,トリニティ株式会社,"トリニティ株式会社 | Trinity, Inc. 【Digital Life Products】","トリニティ株式会社 | Trinity, Inc. 【Digital Life Products】",,トリニティ株式会社 | 健康経営アクサ式 - みんなと会社の未来を健康に。,,星川　哲視,,,不通リスト,C,,,埼玉県新座市,家電製品、民生用電気機械器具,23,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社　藤和アスコン,towa-asucon.co.jp,towa-asucon.co.jp,,"【あいち健康ネット】
https://www.kenko-keiei.pref.aichi.jp/company/detail/1216",,,,,受付NG,C,,,愛知県豊田市,電気機械器具／電子部品・デバイス・機器製造,31,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,須藤建設工業株式会社,sudoh-corp.jp,sudoh-corp.jp,,"【あいち健康ネット】
https://www.kenko-keiei.pref.aichi.jp/company/detail/777",,,,,不通リスト,,,,愛知県豊田市,建設,25,,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,橋爪,奥田商工株式会社,okuda-shoukou.com,okuda-shoukou.com,,"【アクサ生命】
https://www.voice-report.jp/report/2024_6120101038013/",072-431-3526,奥田 康雅,,,追客,B,"4/9 予定不明
４・２終日不在
３・３０不在
２・２７不在
2/10　不在
1/15 予定不明
11/6 .1/9不在
3・27　50代男性　不在",,大阪府貝塚市,設計,21,,TRUE,,,8,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,左近商事株式会社,https://www.v-sakon.co.jp/,https://www.v-sakon.co.jp/,,https://www.voice-report.jp/report/2024_8120101039694/,,,,,不通リスト,C,,,大阪府泉佐野市,レストラン、飲食サービス,30,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社興陽造園,kouyouz.html.xdomain.jp,kouyouz.html.xdomain.jp,,"【大阪府健康経営事例】
http://kouyouz.html.xdomain.jp/nyukai.html",,,,,不通リスト,C,,,大阪府池田市,パルプ、紙、紙加工品、木製品,40,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社マルカン,mk-marukan.com,mk-marukan.com,,https://www.pref.saitama.lg.jp/documents/210216/r5jirei1.p,,11/6,,,不通リスト,,和光営業所　中年女性に社長はたぶん興味ないと言われたがいける,,東京都板橋区,運輸／陸運／鉄道,25,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,ドコス株式会社,https://docos.jp/,https://docos.jp/,,,,,,,社長NG,,9/29不在,,静岡県浜松市,運輸／陸運／鉄道,23,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,碧洋管工株式会社,hekiyo.co.jp,hekiyo.co.jp,,"【あいち健康ネット】
https://www.kenko-keiei.pref.aichi.jp/company/detail/749

【ブログ】
https://www.hekiyo.co.jp/pages/20/",,,,,不通リスト,B,"着拒
9/29.11/6.1/9不在　",,愛知県豊田市,公益事業（電気、ガス、水道など）,16,,TRUE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社アクト,http://www.a-act.co.jp/,http://www.a-act.co.jp/,,"https://www.voice-report.jp/report/2020_105/

https://prtimes.jp/main/html/rd/p/000000013.000112837.html",,,,,社長NG,,,,静岡県御殿場市,,21,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社ケーロッド,https://www.k-rod.com/home/guide/profile/,https://www.k-rod.com/home/guide/profile/,,https://www.kyoukaikenpo.or.jp/~/media/Files/saitama/kenkou/kenpo23categoty.pdf,,,,,追客,,1/9不在　連絡くる,,埼玉県入間市,,50,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,アップコン株式会社,https://www.upcon.co.jp/company/profile/,https://www.upcon.co.jp/company/profile/,,https://kenkoukeiei-media.com/articles/ikigai_event2,,,,,受付NG,,,,神奈川県川崎市,建設,45,,TRUE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社鈴木建設,http://www.suzukikensetsu-f.co.jp/gaiyo.html,http://www.suzukikensetsu-f.co.jp/gaiyo.html,,https://www.youtube.com/watch?v=zvS99FkCv0o,,,,,追客,B,9/29.1/9 不在 ,,福島県白河市,,27,,TRUE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,アイビック食品株式会社,https://ibic.info/company/,https://ibic.info/company/,,https://www.voice-report.jp/report/pre_177/,011-788-7711,まきの,,,担当NG,A,"2/5 折り返し来てNG
1/30 責任者出て、全部伝えて感触は良いが社内検討。資料は送っていない。日調のお電話とする。
1/29  社長は忙しいからダメ。健康経営責任者に改める
秘書に取材NG",,北海道札幌市,,45,,FALSE,,,4,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,橋爪,,株式会社桑原コンクリート工業,https://kuwacon.com/company/,https://kuwacon.com/company/,,優良法人2026,0247-85-2155,くわはら,A,,追客,C,"4/9 予定不明。いる時間がないわけではなさそう
3/27 午前午後不明
3/23 予定不明
3/16 留守電
3/13 月曜夕方もどるかも
3/11 留守電
9/29.11/6　不在",,福島県田村市,製造,46,,FALSE,,,7,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,橋爪,コンドウ印刷株式会社,https://www.kondo-printing.com/,https://www.kondo-printing.com/,,https://hr.ds-b.jp/kondo-printing/,0258（86）6225,近藤,A,,受付NG,C,"3/13 取材×女性
2026 優良法人
社長に確認してNG",,新潟県長岡市,印刷,23,,FALSE,,,3,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,,株式会社キャンパスクリエイト,https://www.ss-saji.jp/,https://www.ss-saji.jp/,,https://www.city.funabashi.lg.jp/jigyou/shoukou/004/wlb-jireishu_d/fil/zen-peji.pdf,047-498-9120,,,,追客,C,"3/19 出ない
11/6.1/6不在",,千葉県船橋市,,47,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,野村,橋爪,株式会社法研関西,https://www.houkenkansai.co.jp/,https://www.houkenkansai.co.jp/,,https://www.voice-report.jp/report/2024_3120001070250/,06-6364-1884,古澤,,,受付NG,B,"2/5前も取材の話聞いて、繫忙期と答えている。四月改め
1/16社長は受けていない。繫忙期である。→担当者で間空けて改める
1/9不在     電話出ない　",2026/04/01,大阪府大阪市,病院、医療、福祉,30,,FALSE,,,3,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社ファミワン,famione.co.jp,famione.co.jp,,https://prtimes.jp/main/html/searchrlp/company_id/14333,,,,,不通リスト,,,,,,10,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,X Mile株式会社,xmile.co.jp,xmile.co.jp,,https://www.wantedly.com/companies/wantedlycs/post_articles/282187,,,,,不通リスト,,,,,コンピューターソフトウェア,50,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社トレタ,corp.toreta.in,corp.toreta.in,,https://www.wantedly.com/companies/wantedlycs/post_articles/280270,,,,,不通リスト,,,,,コンピューターソフトウェア,50,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社Ｋ－ＢＩＴ,kbit.co.jp,kbit.co.jp,,https://prtimes.jp/main/html/rd/p/000000005.000103279.html,,,,,不通リスト,,,,,コンピューターソフトウェア,50,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社ソーラーパートナーズ,solar-partners.co.jp,solar-partners.co.jp,,https://hatarakigai.info/ranking/certified_companies/1201_950.html,,,,,不通リスト,,,,Tokyo,コンピューターソフトウェア,41,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,インターネット・ビジネス・フロンティア株式会社,ibf.co.jp,ibf.co.jp,,https://www.kenkokeiei.jp/whats/,,,,,不通リスト,,,,,プロフェッショナルトレーニング・コーチング,10,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社NEWONE,new-one.co.jp,new-one.co.jp,,https://hatarakigai.info/ranking/certified_companies/1001_656.html,,,,,不通リスト,,,,東京,人材・派遣サービス,38,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,AlphaSights,alphasights.com,alphasights.com,,https://hatarakigai.info/ranking/certified_companies/0801_595.html,,,,,不通リスト,,,,東京都,情報サービス,28,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,Reaktor Japan,reaktor.com,reaktor.com,,https://hatarakigai.info/ranking/certified_companies/1031_3268.html,,,,,不通リスト,,,,東京,コンピューターソフトウェア,38,,FALSE,,,0,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社イクト,ikuto.co.jp,ikuto.co.jp,,"https://kenja.jp/12126_20220809/

株式会社イクト is a company that aims to achieve the SDGs by promoting renewable energy that coexists with the environment and local residents. They provide services centered around solar power generation to contribute to the realization of a decarbonized soc...",0538-84-6327,平井辰憲,,,受付NG,,1・9　HPからしか,,静岡市袋井市,公益事業（電気、ガス、水道など）,42,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,,,株式会社エバー,ssl-e--ever-com.cpi-common.jp,ssl-e--ever-com.cpi-common.jp,,https://credence-clue.jp/watanabe_shinichi/,03-6427-8331,渡邊伸一,,,社長NG,,"1・9　資料送付　
1・13　20代女性　いけそう 
1/2 　1・26　社長不在
3月以降　社長のりのり　絶対忘れない。
3・6　40代女性　
3・19　30代女性　24日まで海外
3・27　30代女性　会議中　1600
3・27　40代女性　",,東京都渋谷区,医療機器、医療用機械器具,30,,FALSE,,endo@e-ever.com,8,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,SKer株式会社,sker.co.jp,sker.co.jp,,https://jinzai100.jp/company/sker/,045-550-7087,實方さねかた 直也,,,ナーチャリング,,"2・4　不通
2・5　不通
2・9　不通
2・12　不通
2・17　不通
3・23　不通",,神奈川県横浜市,情報処理システム、情報処理サービス,11,,FALSE,,1,6,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社ハッピースマイル,happysmile-inc.jp,happysmile-inc.jp,,,048-919-3306,佐藤 堅一,,,受付NG,,1・13　HPからしか,,埼玉県さいたま市,写真,60,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,ココザス株式会社,cocozas.jp,cocozas.jp,,"https://kodomo-smile.metro.tokyo.lg.jp/companies/4015

ココザス株式会社 is a company that provides support for personal life events such as marriage, childbirth, career changes, and home purchases. They offer services in the areas of money, work, and housing, with professionals in each department providing support...",03-6435-4032,安藤義人,,,ナーチャリング,,"1・13　40代女性　受けつけから繋げない　
1・19　30代女性　受付から　
1・26　30代女性　社長帰ってきたら、折り返しが来る
1・30　40代女性　社長不在
2・4　40代女性　不在　ブロック硬そう
2・9　40代女性　ブロック硬い
2・12　40代女性　しぶそう",,東京都港区,投資管理,50,,FALSE,,,7,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,共栄化成株式会社,kyoueikasei.co.jp,kyoueikasei.co.jp,,"https://hitogoto.jp/human/kyoueikasei/

共栄化成株式会社 is a Japanese company that specializes in injection molding of plastic products.",0585-45-3821,安藤篤志,,,受付NG,,1・13　30代女性　受付ブロック,,岐阜県揖斐郡,生産用／業務用機械器具,35,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,,,ActiveBrains,active-brains.co.jp,active-brains.co.jp,,"えるぼし
https://i-hivechiba.com/rollmodel/2020-rm05

ActiveBrains is a company that provides educational materials and applications utilizing ICT. They offer application services, educational ICT support, and consulting. Their products and services aim to provide a new form of learning that incorporates ...",043-297-3147,平山 喬恵,,,追客,,"1・13　30代女性　社長不在　健康経営いる　
1・19　社長不在　
1・26　50代女性　社長健康経営不在
1・30　50代女性　社長不在
2・4　不通
2・5　50代女性　社長不在
2・9　40代女性　予定把握してない
2・12　40代女性　不在
2/16　不在
2・17　40代女性　不在
2・20　40代女性　不在
2・26　不在
3・6　会議中　1700
3・19　40代女性　不在
3・23　不通
3・27　40代女性　予定把握してない",,千葉県千葉市,教育関連、学習支援,10,,FALSE,,,16,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社MAIA,maia.co.jp,maia.co.jp,,"えるぼし認定
https://maia.co.jp/news/448/

MAIA Co.,Ltd.（株式会社MAIA）｜Co create the future 人生100年時代に、""自分らしく生きる""未来を、共に創造する。株式会社MAIA（マイア）はRPA導入企業向け教育コンテンツサービスの提供をはじめ、人とテクノロジーを教育で繋ぎ「循環型社会」を創出するためのコンサルティング、開発、運用支援などトータルソリューションサービスを提供します。RPAラーニング for Women、RPAラーニング for Businessを始め、RPAオンライン教育コンテンツのことならお...",050-1745-9639,月田有香,,,受付NG,,"1・13　40女性　しんどいかも　
1・26　50代女性　しんどい",,東京都港区,教育関連、学習支援,20,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社ネクストエイジ,next-age.co,https://next-age.co/pages/japanese/%E5%86%85%E8%97%A4%E8%A3%95%E4%BA%8C.html,,https://next-age.co/pages/japanese/%E5%86%85%E8%97%A4%E8%A3%95%E4%BA%8C.html,(+81)055-275-3216,内藤,,,ナーチャリング,,"2・4　30代女性　責任者いる
2・5　30代男性　責任者会社にいない
2・9　30代女性　不在
2・12　30代女性　不在
2・17　30代女性　担当にアプローチ
2・20　30代女性　不在
2・26　30代女性　担当者いない
3・23　30代女性　",14：00,山梨県巨摩郡,人材・派遣サービス,40,,FALSE,,1,8,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,高和工業株式会社,cowakogyo.co.jp,cowakogyo.co.jp,,"【アクサ生命】
https://www.voice-report.jp/report/pre_52/",0584-22-0704,高木陽一,,,受付NG,,"3/3 受付NG
2・4　40代女性　NG",,岐阜県不破郡,鉱業，採石、金属、鉄鋼,18,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,アイサンコンピュータサービス株式会社,aisan-cs.co.jp,aisan-cs.co.jp,,https://www.aisan-cs.co.jp/news/%e5%81%a5%e5%ba%b7%e7%b5%8c%e5%96%b6%e5%84%aa%e8%89%af%e6%b3%95%e4%ba%ba2024%e3%80%806%e5%b9%b4%e9%80%a3%e7%b6%9a%e3%81%a7%e8%aa%8d%e5%ae%9a%e3%81%95%e3%82%8c%e3%81%be%e3%81%97%e3%81%9f/,0562-48-7333,宮越 博規,,,担当NG,,2・4　30代女性　,,愛知県大府市,,50,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,東洋電気工事 株式会社,tydenki.net,tydenki.net,,"うちなー健康経営宣言
https://jsite.mhlw.go.jp/okinawa-roudoukyoku/content/contents/001538607.pdf",098-937-4445,柴引 健　しばひき,,,受付NG,,2・4　50代女性　,,沖縄県沖縄市,公益事業（電気、ガス、水道など）,16,,FALSE,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,,,Ｅａｒｔｈｉｎｋ株式会社,earthink.tv,earthink.tv,,https://www.voice-report.jp/report/2023_57/,079-559-1369,崎野哲史,,,追客,,"1/9 着拒
受付はコールセンター？何も知らない。１・８不在。12/25不在　予定つかめない
12/19不在
１２・１７不在。悪くない受付
1・27　30代女性　繋いでくれそうな受付
1・30　不通
2・4　午後再ちゃれ
2・5　info 着拒
2・9　40代女性　不在
2・12　不通
2・17　info不通
2・20　4876着拒",,兵庫県三田市,食品／食料品製造,10,,FALSE,,,12,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,熊本ヤマハ株式会社,kumamoto-yamaha.co.jp,kumamoto-yamaha.co.jp,,https://kumamoto-yamaha.co.jp/news/%e3%80%8c%e5%81%a5%e5%ba%b7%e7%b5%8c%e5%96%b6%e5%84%aa%e8%89%af%e6%b3%95%e4%ba%ba2024%e3%80%8d%e3%81%ab%e8%aa%8d%e5%ae%9a%e3%81%95%e3%82%8c%e3%81%be%e3%81%97%e3%81%9f%ef%bc%81/,096-358-2000,山本　雅裕,,,触るな危険！,A,"３・４不在
2・5　30代女性　不在
2・9　40代女性　担当14：00
2・9　40代女性　ガチャ切り
2・9
2・12　30代女性　担当明日いる
2/13　担当16:30もう一回
2/16　担当と話す：権限は社長にあるので、改め、基本午前中
2・17　40代女性　不在
2・20　30代女性　不在　われらのこと覚えている。
2・26　不在
3・6　40代女性　社長不在　繋いでくれはした
3・19　40代女性　出張
3・23　40代女性　外れ
3・27　40代女性　不在
3・30　40代女性　不通",,,自動車、輸送用機械器具、輸送用機器,33,,FALSE,,,16,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,中井,株式会社ヨコレイ,yokoray.co.jp,yokoray.co.jp,,https://yokoray.co.jp/about/csr,045-381-4501,有井　清,,,追客,B,"3・19　不在
3/13　不在　16時
1・13　40代女性　
11・19　40代女性　繋ぐきなさそう
2・4　40代女性　健康経営いる　明日行く
2・5　20代女性　不在
2・9　40代女性　繋ぐきなさそう
2・12　担当明日いる
2/16　担当者午後戻る　14時
2・17　50代女性　担当不在
2・20　50代女性　不在
2・26　担当者午後からいる　14時ころ改め
3・6　30代女性　全員不在
3/9女性　不在
3・23　30代女性　
3・23　30代女性　社長不在
3・27　40代女性　1600
3・27　不在
3・30　営業時間外",,神奈川県横浜市,公益事業（電気、ガス、水道など）,41,,FALSE,,,19,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,有限会社 岩倉溶接工業所,iwakura-weld.jp,iwakura-weld.jp,,"https://iwakura-weld.jp/1225

https://kanagata-shimbun.com/202411_konohito/",0547-37-4585,岩倉 義典,,,社長NG,,"1・19　午後一　14：00　社長いる　
1・26　2月2日午前　社長に電話
2・4　明日午前社長いる
2・5　不在
2・9　社長いる　
2・9　前も断っている！！だそうです。",13：30,静岡県島田市,鉱業，採石、金属、鉄鋼,22,,FALSE,,,6,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社 丸東,marutou010.com,marutou010.com,,https://marutou010.com/info/%E3%80%80%E3%80%82,0240-22-1471,西山　由美子,,,追客,,"2・5　info 着拒
2・9　40代女性　繋ぐ気なさそう",,福島県双葉郡,建設,42,,TRUE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,有限会社ウイルパワー,doguya.com,doguya.com,,https://www.doguya.com/blog/51086.html,086-455-8500,"
江川 健次郎",,,受付NG,,"2/28　2回目資料送付済み
1・9　いける　
1・19
1・26　社長不在
1・30　終日不在
2・4　社長いない　午後再ちゃれ
2・4　水曜定休
2・5　30代女性　受付NG",,岡山県倉敷市,再生可能エネルギー・環境,18,,FALSE,,,8,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社 日圧機販,nichiatsu.net,nichiatsu.net,,https://nichiatsu.net/2022/04/1965/,862968702,渡邉 鉄平,,,受付NG,,"2・5　社長出張　担当から行く
2・9　30代女性　NG",,岡山県岡山市,公益事業（電気、ガス、水道など）,37,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社エルムデータ,elmdata.co.jp,elmdata.co.jp,,https://www.elmdata.co.jp/news/news-069.html,011-898-7077,村上 由彦,,,担当NG,B,"2・5　社長不在いけそう
2・9　50代女性　17：00　社長いる
2・9　30代男性　健康経営担当　石井
2・12　30代男性　16：30
2/13
2・17　30代男性
2・20　30代男性　13：00社長いる
2・26　",13：00,北海道札幌市,情報処理システム、情報処理サービス,18,,FALSE,,,8,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,株式会社バーテック,burrtec.co.jp,burrtec.co.jp,,https://burrtec.co.jp/sustainability/,06-6484-9341,末松仁彦,,,受付NG,,2・9　30代男性　硬い,,大阪市中央区,電気機械器具／電子部品・デバイス・機器製造,35,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,峰尾,,フルード工業株式会社,fluideng.co.jp,fluideng.co.jp,,https://www.tokyo-cci.or.jp/kenkokeiei-club/senmonka/jirei-fluideng.html,03－3944－7111,明珍 裕之,,,受付NG,,"info@fluideng.co.jp 　担当にメール誘導
2・9　40代女性　NG",,東京都文京区,設計,25,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,渡邊,仲山,株式会社タキオン,takion.hp.gogo.jp,takion.hp.gogo.jp,,"【アクサ生命】
https://www.voice-report.jp/report/2022_1000th_163/",0566-99-4368,杉山恵一,,,追客,B,"3/6　不通
４・２不在。健康経営担当者なし
３・３１不通
３・３０不在
3/26　3/27の午後ならいる
３・１２不在
3/9　17:30
３・６不在
12/26、
1/14.
16
.23
.28不在 社長が健康経営やってる。
2/16　不在",4/9,愛知県安城市,鉄道製造,18,,FALSE,,,14,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,渡邊,,鳴本石材株式会社,narumoto.co.jp,narumoto.co.jp,,"https://www.voice-report.jp/report/2021_600th_190/

鳴本石材株式会社 is a pioneer in the stone wholesale industry, specializing in a wide range of domestic and foreign stones, with a particular emphasis on offering the highest quality domestic stones sourced from the renowned Northwood stone region in Kasaoka City, Okayama Prefecture.",0865-66-1414,鳴本太郎,,,追わない,C,資料送付したが、必要であれば連絡する。,,岡山県笠岡市,建設,60,,FALSE,,,1,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,渡邊,,田中酒造株式会社,tanakashuzo.com,tanakashuzo.com,,https://www.kyoukaikenpo.or.jp/~/media/Files/hokkaido/kenko_dukuri/jigyousyo-sengen/jireishu1_peak2.pdf,0134-23-0390,田中一良,,,担当NG,,"2/12 現在忙しい
専務岡田が担当である。亀甲蔵にいる。
年明け成人式後なら時間あると思う。",,北海道小樽市,飲食料品（食品、飲料）,38,,FALSE,,,3,,,,,,,,,,,,,,,,,,,,,,,
2025/06/07,渡邊,,アーチ株式会社,arch-corp.co.jp,arch-corp.co.jp,,"アクサ生命
https://www.voice-report.jp/report/2023_6290001034153/",092-292-3759,藤本 賢一,,,受付NG,,"１・２６なし7/30　不在　9/24不在
１・３０受付ブロック",,福岡県福岡市,コンピューターソフトウェア,39,,FALSE,,,2,,,,,,,,,,,,,,,,,,,,,,,
